"Signature","Stratification","p_value","N","n_LOW","n_HIGH"
"CES1_CPT1A","zsign_CES1_CPT1A_25p",0.96,238,60,178
"CES1_CPT1A","zsign_CES1_CPT1A_50p",0.3217,238,119,119
"CES1_CPT1A","zsign_CES1_CPT1A_75p",0.798,238,178,60
"CES1_CPT1A","zsign_CES1_CPT1A_20p_80p",0.9575,96,48,48
"CES1_CPT1A","zsign_CES1_CPT1A_40p_60p",0.4711,190,95,95
"CES1_CPT1A","zsign_CES1_CPT1A_ACSL3_25p",0.9392,238,60,178
"CES1_CPT1A","zsign_CES1_CPT1A_ACSL3_50p",0.9832,238,119,119
"CES1_CPT1A","zsign_CES1_CPT1A_ACSL3_75p",0.2231,238,178,60
"CES1_CPT1A","zsign_CES1_CPT1A_ACSL3_20p_80p",0.5979,96,48,48
"CES1_CPT1A","zsign_CES1_CPT1A_ACSL3_40p_60p",0.6523,190,95,95
"CES1_MGLL_ACSL3","zsign_CES1_MGLL_ACSL3_25p",0.8891,238,60,178
"CES1_MGLL_ACSL3","zsign_CES1_MGLL_ACSL3_50p",0.2463,238,119,119
"CES1_MGLL_ACSL3","zsign_CES1_MGLL_ACSL3_75p",0.4491,238,178,60
"CES1_MGLL_ACSL3","zsign_CES1_MGLL_ACSL3_20p_80p",0.5898,96,48,48
"CES1_MGLL_ACSL3","zsign_CES1_MGLL_ACSL3_40p_60p",0.4289,190,95,95
"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_25p",0.8206,238,60,178
"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_50p",0.8071,238,119,119
"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_75p",0.1928,238,178,60
"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_20p_80p",0.2452,96,48,48
"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_40p_60p",0.5426,190,95,95
"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_ACSL3_25p",0.4372,238,60,178
"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_ACSL3_50p",0.7973,238,119,119
"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_ACSL3_75p",0.67,238,178,60
"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_ACSL3_20p_80p",0.4761,96,48,48
"CES1_MGLL_CPT1A","zsign_CES1_MGLL_CPT1A_ACSL3_40p_60p",0.7202,190,95,95
"CES1_MGLL_CPT1A_ACSL3","zsign_CES1_MGLL_CPT1A_ACSL3_25p",0.4372,238,60,178
"CES1_MGLL_CPT1A_ACSL3","zsign_CES1_MGLL_CPT1A_ACSL3_50p",0.7973,238,119,119
"CES1_MGLL_CPT1A_ACSL3","zsign_CES1_MGLL_CPT1A_ACSL3_75p",0.67,238,178,60
"CES1_MGLL_CPT1A_ACSL3","zsign_CES1_MGLL_CPT1A_ACSL3_20p_80p",0.4761,96,48,48
"CES1_MGLL_CPT1A_ACSL3","zsign_CES1_MGLL_CPT1A_ACSL3_40p_60p",0.7202,190,95,95
"CES1_CPT1A_ACSL3","zsign_CES1_CPT1A_ACSL3_25p",0.9392,238,60,178
"CES1_CPT1A_ACSL3","zsign_CES1_CPT1A_ACSL3_50p",0.9832,238,119,119
"CES1_CPT1A_ACSL3","zsign_CES1_CPT1A_ACSL3_75p",0.2231,238,178,60
"CES1_CPT1A_ACSL3","zsign_CES1_CPT1A_ACSL3_20p_80p",0.5979,96,48,48
"CES1_CPT1A_ACSL3","zsign_CES1_CPT1A_ACSL3_40p_60p",0.6523,190,95,95
