"Signature","Genes","Threshold","Survival","ZScore_N","ZScore_P","ssGSEA_N","ssGSEA_P","Correlation","Method_Diff","Better_Method","Both_Sig","Either_Sig"
"CES1_CPT1A","CES1, CPT1A","25p","OS",245,0.960043,245,0.397366,0.852,0.562676,"ssGSEA",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","25p","DSS",235,0.2435,235,0.103922,0.852,0.139578,"ssGSEA",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","25p","PFI",245,0.357382,245,0.261657,0.852,0.095726,"ssGSEA",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","50p","OS",245,0.358299,245,0.553286,0.852,-0.194987,"Z-score",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","50p","DSS",235,0.824987,235,0.114288,0.852,0.710699,"ssGSEA",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","50p","PFI",245,0.826754,245,0.717132,0.852,0.109623,"ssGSEA",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","66p","OS",245,0.960587,245,0.778924,0.852,0.181664,"ssGSEA",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","66p","DSS",235,0.494609,235,0.2809,0.852,0.213708,"ssGSEA",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","66p","PFI",245,0.531515,245,0.949809,0.852,-0.418295,"Z-score",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","75p","OS",245,0.896517,245,0.908959,0.852,-0.012443,"Z-score",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","75p","DSS",235,0.525971,235,0.360611,0.852,0.16536,"ssGSEA",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","75p","PFI",245,0.885422,245,0.529441,0.852,0.355981,"ssGSEA",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","90p","OS",245,0.306888,245,0.945596,0.852,-0.638708,"Z-score",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","90p","DSS",235,0.286238,235,0.982348,0.852,-0.69611,"Z-score",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","90p","PFI",245,0.783092,245,0.545821,0.852,0.237271,"ssGSEA",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","25p_75p","OS",122,0.936726,122,0.438128,0.852,0.498598,"ssGSEA",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","25p_75p","DSS",118,0.251864,118,0.114761,0.852,0.137103,"ssGSEA",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","25p_75p","PFI",122,0.569058,122,0.892953,0.852,-0.323895,"Z-score",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","33p_66p","OS",164,0.913819,164,0.98525,0.852,-0.071431,"Z-score",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","33p_66p","DSS",158,0.364257,158,0.112645,0.852,0.251612,"ssGSEA",FALSE,FALSE
"CES1_CPT1A","CES1, CPT1A","33p_66p","PFI",164,0.682291,164,0.273294,0.852,0.408997,"ssGSEA",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","25p","OS",245,0.889135,245,0.263312,0.9439,0.625823,"ssGSEA",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","25p","DSS",235,0.551591,235,0.278153,0.9439,0.273438,"ssGSEA",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","25p","PFI",245,0.438683,245,0.345152,0.9439,0.093531,"ssGSEA",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","50p","OS",245,0.239739,245,0.29245,0.9439,-0.052711,"Z-score",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","50p","DSS",235,0.06611,235,0.251921,0.9439,-0.185811,"Z-score",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","50p","PFI",245,0.847424,245,0.924272,0.9439,-0.076847,"Z-score",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","66p","OS",245,0.928092,245,0.167863,0.9439,0.760229,"ssGSEA",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","66p","DSS",235,0.933705,235,0.033474,0.9439,0.900231,"ssGSEA",FALSE,TRUE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","66p","PFI",245,0.599015,245,0.346528,0.9439,0.252487,"ssGSEA",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","75p","OS",245,0.266102,245,0.032395,0.9439,0.233707,"ssGSEA",FALSE,TRUE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","75p","DSS",235,0.18302,235,0.022769,0.9439,0.160251,"ssGSEA",FALSE,TRUE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","75p","PFI",245,0.786409,245,0.110498,0.9439,0.675911,"ssGSEA",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","90p","OS",245,0.969017,245,0.753722,0.9439,0.215295,"ssGSEA",FALSE,FALSE
"CES1_MGLL_ACSL3","CES1, MGLL, ACSL3","90p","DSS",235,0.292169,235,0.835181,0.9439,-0.543012,"Z-score",FALSE,FALSE
